
Start NMF for gFN using NumPy at 2023-08-29 10:32:54

    Iter = 1: LogL: 1352567.4483861804, dataFit: 948005.7371741321, spaLap: 211148.04920895095, L21: 193413.66200309724, ardU: 0
    Iter = 2: LogL: 1205768.2491025408, dataFit: 949755.4917962475, spaLap: 61981.156484442494, L21: 194031.60082185062, ardU: 0
    Iter = 3: LogL: 1180759.8154534558, dataFit: 944282.7273706739, spaLap: 42350.98777850222, L21: 194126.10030427968, ardU: 0
    Iter = 4: LogL: 1171073.1367188653, dataFit: 941623.476004543, spaLap: 35303.9974063416, L21: 194145.66330798072, ardU: 0
    Iter = 5: LogL: 1166009.340412231, dataFit: 939065.8704709365, spaLap: 32805.17691539794, L21: 194138.29302589662, ardU: 0
    Iter = 6: LogL: 1163036.7078478218, dataFit: 937280.3026398352, spaLap: 31633.64642807313, L21: 194122.7587799135, ardU: 0
    Iter = 7: LogL: 1161107.14321212, dataFit: 935911.4272531297, spaLap: 31090.894312781507, L21: 194104.82164620885, ardU: 0
    Iter = 8: LogL: 1159822.699275294, dataFit: 934883.4121583122, spaLap: 30852.019113072995, L21: 194087.26800390906, ardU: 0
    Iter = 9: LogL: 1158941.8244807546, dataFit: 934114.1813980867, spaLap: 30756.36758210817, L21: 194071.2755005596, ardU: 0
    Iter = 10: LogL: 1158325.9018642572, dataFit: 933545.2115812014, spaLap: 30723.36838166935, L21: 194057.32190138646, ardU: 0
    Iter = 11: LogL: 1157863.882220129, dataFit: 933125.3563382855, spaLap: 30693.073265122017, L21: 194045.45261672148, ardU: 0
    Iter = 12: LogL: 1157518.548383698, dataFit: 932798.077186267, spaLap: 30685.050748984562, L21: 194035.42044844665, ardU: 0
    Iter = 13: LogL: 1157261.2922774754, dataFit: 932546.2139790904, spaLap: 30688.026176594085, L21: 194027.05212179077, ardU: 0
    Iter = 14: LogL: 1157070.32934081, dataFit: 932354.7439050077, spaLap: 30695.422118053186, L21: 194020.16331774922, ardU: 0
    Iter = 15: LogL: 1156919.4262914453, dataFit: 932212.2336281035, spaLap: 30692.62743262012, L21: 194014.5652307216, ardU: 0
    Iter = 16: LogL: 1156794.086543099, dataFit: 932100.9342668195, spaLap: 30683.129208575578, L21: 194010.02306770402, ardU: 0
