
Start NMF for gFN using PyTorch at 2023-09-03 08:34:20

    Iter = 1: LogL: 1355814.712171765, dataFit: 947905.0719170404, spaLap: 214492.16003072815, L21: 193417.48022399654, ardU: 0
    Iter = 2: LogL: 1206164.2660622075, dataFit: 950334.9774670938, spaLap: 61791.76075741214, L21: 194037.5278377017, ardU: 0
    Iter = 3: LogL: 1181446.884407963, dataFit: 944650.6402934745, spaLap: 42665.00464615589, L21: 194131.23946833244, ardU: 0
    Iter = 4: LogL: 1171628.617161146, dataFit: 942266.5564863239, spaLap: 35209.82208375754, L21: 194152.23859106447, ardU: 0
    Iter = 5: LogL: 1166575.6261880265, dataFit: 939686.7774738155, spaLap: 32743.54565868475, L21: 194145.30305552625, ardU: 0
    Iter = 6: LogL: 1163554.6001151348, dataFit: 937945.9345296, spaLap: 31478.37761229594, L21: 194130.28797323885, ardU: 0
    Iter = 7: LogL: 1161592.1971763123, dataFit: 936547.1297612089, spaLap: 30932.61503618179, L21: 194112.45237892156, ardU: 0
    Iter = 8: LogL: 1160214.4332968898, dataFit: 935495.0628527233, spaLap: 30624.53038711534, L21: 194094.840057051, ardU: 0
    Iter = 9: LogL: 1159232.9407245019, dataFit: 934643.7068805159, spaLap: 30510.894603158446, L21: 194078.33924082766, ardU: 0
    Iter = 10: LogL: 1158508.0193743727, dataFit: 933977.8290429995, spaLap: 30466.58801788099, L21: 194063.6023134922, ardU: 0
    Iter = 11: LogL: 1157976.405953737, dataFit: 933444.4326896655, spaLap: 30481.24682616706, L21: 194050.7264379045, ardU: 0
    Iter = 12: LogL: 1157575.7640817938, dataFit: 933029.7807855562, spaLap: 30506.22910785573, L21: 194039.75418838195, ardU: 0
    Iter = 13: LogL: 1157274.0910806938, dataFit: 932702.7877796493, spaLap: 30540.780737480967, L21: 194030.52256356349, ardU: 0
    Iter = 14: LogL: 1157045.273680035, dataFit: 932449.0262185938, spaLap: 30573.379910586795, L21: 194022.86755085425, ardU: 0
    Iter = 15: LogL: 1156870.5534537984, dataFit: 932252.8259896867, spaLap: 30601.135075134764, L21: 194016.59238897715, ardU: 0
    Iter = 16: LogL: 1156730.8338543305, dataFit: 932102.231019857, spaLap: 30617.10022446022, L21: 194011.50261001327, ardU: 0
    Iter = 17: LogL: 1156617.0434149094, dataFit: 931982.9259023957, spaLap: 30626.730771406757, L21: 194007.3867411068, ardU: 0
    Iter = 18: LogL: 1156523.109895599, dataFit: 931887.2095836081, spaLap: 30631.82899287316, L21: 194004.07131911782, ardU: 0
    Iter = 19: LogL: 1156447.915914323, dataFit: 931809.4300589394, spaLap: 30637.074176262977, L21: 194001.41167912047, ardU: 0
    Iter = 20: LogL: 1156384.5918121678, dataFit: 931748.3022585027, spaLap: 30636.98687425514, L21: 193999.30267941003, ardU: 0
